"If  $\frac{-10}{\left( x  + 8\right) \left( x -10\right) \left( x  + 6\right)} = \frac{A}{(x+8)} + \frac{B}{(x-10)} + \frac{C}{(x+6)}$  , then find the value of A and B",4,"$-\frac{3}{86}, \frac{5}{16}$","$-\frac{5}{18}, -\frac{3}{86}$","$-\frac{5}{18}, -\frac{5}{16}$","$-\frac{5}{18}, \frac{5}{16}$",2,Rearrange the equation in the form $-10 = A(x-10)(x+6) + B(x+8)(x+6) + C(x+8)(x-10)$,Substitute the values of x such that terms C and B are removed from the equation to get A. Similarly substitute a different value of x to get the value of B,"Based on the above hint , you need to substitute the value of x = -8 to get the value of A Similarly substituting the value of x = 10 will get you the value of B",7,1,You've got one of the coefficients correct i.e. VALUE OF B but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"If  $\frac{8x -12}{\left( x  + 1\right) \left( x -12\right) \left( x -12\right)} = \frac{A}{(x+1)} + \frac{B}{(x-12)} + \frac{C}{(x-12)^2}$  , then find the value of A and B",4,"$\frac{11}{93}, \frac{84}{13}$","$\frac{11}{93}, \frac{11}{93}$","$-\frac{11}{93}, \frac{84}{13}$","$-\frac{11}{93}, \frac{11}{93}$",4,Rearrange the equation in the form $8x -12 = A(x-12)(x-12) + B(x+1)(x-12) + C(x+1)$,Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.  Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = -1 to get the value of A . Substitute the value of A in the equation and put x = 12 to get the value of C.Now put the values of A and C in the equation to get the value of B ",7,1,You've got one of the coefficients correct i.e. VALUE OF B but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one
"If  $\frac{-11x^{2}  + 9}{\left( x -6\right)\left( x -2\right)^{2}}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-\frac{387}{16}, \frac{35}{4}$","$\frac{211}{16}, 27$","$\frac{211}{16}, \frac{387}{16}$","$-\frac{35}{4}, \frac{387}{16}$",1,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.  Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 6 to get the value of A . Substitute the value of A in the equation and put x = 2 to get the value of C.Now put the values of A and C in the equation to get the value of B ",7,2,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If  $\frac{3}{\left( x \right)\left( x  + 6\right)^{2}}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-35, \frac{1}{2}$","$-\frac{1}{2}, -\frac{1}{12}$","$-\frac{1}{12}, 27$","$-\frac{1}{12}, \frac{1}{2}$",2,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.  Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 0 to get the value of A . Substitute the value of A in the equation and put x = -6 to get the value of C.Now put the values of A and C in the equation to get the value of B ",7,2,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If  $\frac{6x^{2}  + 12}{\left( x -7\right)\left( x  + 12\right)^{2}}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-\frac{876}{19}, -\frac{39}{46}$","$-\frac{876}{19}, \frac{237}{46}$","$-\frac{237}{46}, \frac{876}{19}$","$-\frac{876}{19}, 27$",2,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $6x^{2}  + 12 = A(x+12)(x+12) + B(x-7)(x+12) + C(x-7)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,2,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one
"If $\frac{-6x^{2} }{\left( x^{3} -11 x^{2}  + 32 x -28\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{24}{5}, \frac{294}{25}$","$\frac{144}{25}, 27$","$\frac{24}{5}, -\frac{294}{25}$","$-\frac{24}{5}, -\frac{144}{25}$",3,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.  Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 7 to get the value of A . Substitute the value of A in the equation and put x = 2 to get the value of C.Now put the values of A and C in the equation to get the value of B ",7,3,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If $\frac{5}{\left( x^{3}  + 34 x^{2}  + 385 x  + 1452\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-5, 27$","$5, -5$","$5, -21$","$19, -7$",2,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $5 = A(x+11)(x+11) + B(x+12)(x+11) + C(x+12)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If $\frac{7x -12}{\left( x^{3}  + 7 x^{2} -80 x -576\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$4, \frac{3}{17}$","$-\frac{3}{17}, -4$","$4, 27$","$35, -4$",1,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.  Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 9 to get the value of A . Substitute the value of A in the equation and put x = -8 to get the value of C.Now put the values of A and C in the equation to get the value of B ",7,3,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If $\frac{-3x^{2} }{\left( x^{3} -16 x^{2}  + 52 x -48\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{6}{5}, -\frac{33}{25}$","$-\frac{6}{5}, \frac{108}{25}$","$-\frac{108}{25}, \frac{6}{5}$","$-\frac{108}{25}, 27$",3,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.  Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 12 to get the value of A . Substitute the value of A in the equation and put x = 2 to get the value of C.Now put the values of A and C in the equation to get the value of B ",7,3,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"If $\frac{-3x^{2} -7x }{\left( x^{3}  + 3 x^{2} -45 x -175\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-\frac{49}{36}, -\frac{10}{3}$","$-\frac{10}{3}, \frac{59}{36}$","$-\frac{49}{36}, -\frac{59}{36}$","$-\frac{59}{36}, 27$",3,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Substitute the value of x such that terms B and C are removed from the equation to get A. Now use this value of A in the equation and substitute a new value of x to derive the value of C.  Use the values of A and C in equation 1 to derive the value of B,"Based on the above hint , you need to substitute the value of x = 7 to get the value of A . Substitute the value of A in the equation and put x = -5 to get the value of C.Now put the values of A and C in the equation to get the value of B ",7,3,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If  $\frac{11}{\left( x -5\right)\left(12x^{2}-11 x  + 3\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{163}{75}, \frac{33}{62}$","$\frac{2}{45}, 27$","$\frac{2}{45}, \frac{33}{62}$","$-\frac{163}{75}, \frac{2}{45}$",4,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $11 = A(12x^2-11x+3) + Bx(x-5) + C(x-5)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,2,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Your answer is correct! Let's try the next one
"If  $\frac{-5}{\left( x -8\right)\left(10x^{2}-2 x  + 2\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{38}{61}, 27$","$\frac{1}{100}, -\frac{38}{61}$","$\frac{38}{61}, -\frac{1}{100}$","$-\frac{1}{100}, -\frac{38}{61}$",3,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $-5 = A(10x^2-2x+2) + Bx(x-8) + C(x-8)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,2,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"If  $\frac{4x^{2} -1}{\left( x  + 9\right)\left(8x^{2} + 4 x  + 2\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-\frac{13}{57}, 27$","$-\frac{10}{19}, \frac{13}{57}$","$-\frac{5}{24}, \frac{13}{57}$","$\frac{10}{19}, -\frac{13}{57}$",4,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $4x^{2} -1 = A(8x^2+4x+2) + Bx(x+9) + C(x+9)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,2,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Your answer is correct! Let's try the next one
"If $\frac{6x^{2} -x }{\left(-3 x^{3} -41 x^{2} -65 x -60\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-\frac{79}{34}, -\frac{61}{63}$","$\frac{61}{63}, \frac{67}{69}$","$-\frac{67}{69}, \frac{61}{63}$","$-\frac{61}{63}, 27$",1,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $6x^{2} -x  = A(-3x^2-5x-5) + Bx(x+12) + C(x+12)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one
"If $\frac{9x^{2}  + 12}{\left(4 x^{3} -22 x^{2} -9 x -18\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$\frac{112}{53}, -\frac{50}{53}$","$\frac{112}{53}, \frac{50}{53}$","$\frac{29}{53}, 27$","$-\frac{112}{53}, -\frac{29}{53}$",1,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $9x^{2}  + 12 = A(4x^2+2x+3) + Bx(x-6) + C(x-6)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one
"If $\frac{-7x^{2}  + 6x  + 10}{\left(3 x^{3}  + 24 x^{2} -25 x  + 18\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-\frac{6}{23}, -\frac{155}{69}$","$\frac{155}{69}, -\frac{124}{77}$","$\frac{124}{77}, \frac{155}{69}$","$-\frac{155}{69}, 27$",1,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $-7x^{2}  + 6x  + 10 = A(3x^2-3x+2) + Bx(x+9) + C(x+9)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"If $\frac{-x^{2}  + 10x }{\left(11 x^{3}  + 126 x^{2} -71 x  + 12\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-\frac{11}{69}, \frac{1}{75}$","$-\frac{11}{69}, -\frac{1}{75}$","$\frac{11}{69}, -\frac{1}{75}$","$-\frac{11}{69}, 27$",1,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $-x^{2}  + 10x  = A(11x^2-6x+1) + Bx(x+12) + C(x+12)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Your answer is correct! Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one
"If $\frac{-2x }{\left(-6 x^{3} -4 x^{2}  + 4 x -24\right)}$  can be resolved to partial fractions, which of the following options contains the correct coefficients of its partial fractions",4,"$-\frac{6}{13}, -\frac{1}{13}$","$\frac{6}{13}, \frac{6}{13}$","$-\frac{1}{13}, 27$","$-\frac{6}{13}, \frac{6}{13}$",1,Ensure that the denominator of the expression is factorized  and reduced  to factors of the lowest degree,Rearrange the equation in the form $-2x  = A(-6x^2+8x-12) + Bx(x+2) + C(x+2)$,Substitute the value of x such that any two of the three terms of the equation shown in the previous hint are removed to get one coefficient. Repeat this step with appropriate values of x to find the coefficients of the other two terms as well,7,3,Your answer is correct! Let's try the next one,Unfortunately the selected answer is not a co-efficient of any of the partial fractions. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF A but the second coefficient is incorrect. Let's try the next one,You've got one of the coefficients correct i.e. VALUE OF C but the second coefficient is incorrect. Let's try the next one
